kode;nama;kode_jenjang_pendidikan;jjp;tingkat
SD1-1;Pendidikan Agama;SD;4;1
SD1-2;Pendidikan Pancasila ;SD;5;1
SD1-3;Bahasa Indonesia;SD;8;1
SD1-4;Matematika;SD;5;1
SD1-5;Pendidikan Jasmani Olahraga dan Kesehatan ;SD;4;1
SD1-6;Seni dan Budaya;SD;4;1
SD2-1;Pendidikan Agama;SD;4;2
SD2-2;Pendidikan Pancasila ;SD;5;2
SD2-3;Bahasa Indonesia;SD;9;2
SD2-4;Matematika;SD;6;2
SD2-5;Pendidikan Jasmani Olahraga dan Kesehatan ;SD;4;2
SD2-6;Seni dan Budaya;SD;4;2
SD3-1;Pendidikan Agama;SD;4;3
SD3-2;Pendidikan Pancasila ;SD;5;3
SD3-3;Bahasa Indonesia;SD;7;3
SD3-4;Matematika;SD;6;3
SD3-5;Ilmu Pengetahuan Alam dan Sosial;SD;6;3
SD3-6;Pendidikan Jasmani Olahraga dan Kesehatan ;SD;4;3
SD3-7;Seni dan Budaya;SD;4;3
SD3-8;Bahasa Inggris;SD;2;3
SD4-1;Pendidikan Agama;SD;4;4
SD4-2;Pendidikan Pancasila ;SD;5;4
SD4-3;Bahasa Indonesia;SD;7;4
SD4-4;Matematika;SD;6;4
SD4-5;Ilmu Pengetahuan Alam dan Sosial;SD;6;4
SD4-6;Pendidikan Jasmani Olahraga dan Kesehatan ;SD;4;4
SD4-7;Seni dan Budaya;SD;4;4
SD4-8;Bahasa Inggris;SD;2;4
SD5-1;Pendidikan Agama;SD;4;5
SD5-2;Pendidikan Pancasila ;SD;5;5
SD5-3;Bahasa Indonesia;SD;7;5
SD5-4;Matematika;SD;6;5
SD5-5;Ilmu Pengetahuan Alam dan Sosial;SD;6;5
SD5-6;Pendidikan Jasmani Olahraga dan Kesehatan ;SD;4;5
SD5-7;Seni dan Budaya;SD;4;5
SD5-8;Bahasa Inggris;SD;2;5
SD6-1;Pendidikan Agama;SD;4;6
SD6-2;Pendidikan Pancasila ;SD;5;6
SD6-3;Bahasa Indonesia;SD;7;6
SD6-4;Matematika;SD;6;6
SD6-5;Ilmu Pengetahuan Alam dan Sosial;SD;6;6
SD6-6;Pendidikan Jasmani Olahraga dan Kesehatan ;SD;4;6
SD6-7;Seni dan Budaya;SD;4;6
SD6-8;Bahasa Inggris;SD;2;6
SMP7-1;Pendidikan Agama;SMP;3;7
SMP7-2;Pendidikan Pancasila ;SMP;3;7
SMP7-3;Bahasa Indonesia;SMP;6;7
SMP7-4;Matematika;SMP;5;7
SMP7-5;Ilmu Pengetahuan Alam;SMP;5;7
SMP7-6;Ilmu Pengetahuan Sosial;SMP;4;7
SMP7-7;Bahasa Inggris;SMP;4;7
SMP7-8;Pendidikan Jasmani Olahraga dan Kesehatan ;SMP;3;7
SMP7-9;Informatika;SMP;3;7
SMP7-10;Seni dan Budaya;SMP;3;7
SMP8-1;Pendidikan Agama;SMP;3;8
SMP8-2;Pendidikan Pancasila ;SMP;3;8
SMP8-3;Bahasa Indonesia;SMP;6;8
SMP8-4;Matematika;SMP;5;8
SMP8-5;Ilmu Pengetahuan Alam;SMP;5;8
SMP8-6;Ilmu Pengetahuan Sosial;SMP;4;8
SMP8-7;Bahasa Inggris;SMP;4;8
SMP8-8;Pendidikan Jasmani Olahraga dan Kesehatan ;SMP;3;8
SMP8-9;Informatika;SMP;3;8
SMP8-10;Seni dan Budaya;SMP;3;8
SMP9-1;Pendidikan Agama;SMP;3;9
SMP9-2;Pendidikan Pancasila ;SMP;3;9
SMP9-3;Bahasa Indonesia;SMP;6;9
SMP9-4;Matematika;SMP;5;9
SMP9-5;Ilmu Pengetahuan Alam;SMP;5;9
SMP9-6;Ilmu Pengetahuan Sosial;SMP;4;9
SMP9-7;Bahasa Inggris;SMP;4;9
SMP9-8;Pendidikan Jasmani Olahraga dan Kesehatan ;SMP;3;9
SMP9-9;Informatika;SMP;3;9
SMP9-10;Seni dan Budaya;SMP;3;9
SMA10-1;Pendidikan Agama;SMA;3;10
SMA10-2;Pendidikan Pancasila ;SMA;2;10
